intersection,lon,lat
CALHOUN AVENUE and CROSS BRONX EXPRESSWAY,-73.823505,40.824673
SCHLEY AVENUE and THROGS NECK BOULEVARD,-73.816315,40.826291
229 DRIVE NORTH and EAST 229 STREET,-73.8462782,40.8866066
BAINBRIDGE AVENUE and WEST MOSHOLU PARKWAY NORTH,-73.880695,40.8729038
SOUTHERN BOULEVARD and WEST MOSHOLU PARKWAY NORTH,-73.8705999,40.8654011
MOSHOLU PARKWAY and STEUBEN AVENUE,-73.8818424,40.8770308
RESERVIOR OVAL EAST and WEST KINGSBRIDGE,-73.8993984,40.8679278
RESERVIOR OVAL WEST and STRONG STREET,-73.8977686,40.8708874
EAST 195 STREET and JEROME AVENUE,-73.8965042,40.868628
KINGSBRIDGE AVENUE and UNIVERSITY AVENUE,-73.9010581,40.8683309
EASTCHESTER ROAD and GUNHILL ROAD,-73.8418173,40.868168
BRUNER AVENUE and ELY AVENUE,-73.8399698,40.8780473
EAST GUNHILL ROAD and FENTON AVENUE,-73.844231,40.8694148
FIELDSTON TERRACE and TIBBETT AVENUE,-73.8993651,40.8970684
PUTNAM AVENUE WEST and VANCORTLANDT PARK,-73.8974296,40.886157
2 STREET and HUNTS POINT AVENUE,-73.876999,40.813684
BRUCKNER EXPRESSWAY and WHITTIER STREET,-73.885867,40.8224703
35 STREET and HUNTERSPT AVENUE,-73.9310921,40.7380753
51 AVENUE and BORDEN AVENUE,-73.9289394,40.7367709
29 STREET and QUEENS PLAZA SOUTH,-73.937779,40.7498933
21 STREET and ASTORIA BOULEVARD SOUTH,-73.9259369,40.7722387
29 STREET and ASTORIA BLVD SOUTH,-73.919489,40.770441
31 STREET and ASTORIA BLVD SOUTH,-73.9181013,40.7700626
31 STREET and ASTORIA BOULEVARD SOUTH,-73.9181013,40.7700626
33 ROAD and ASTORIA BOULEVARD SOUTH,-73.9168175,40.7697956
42 STREET and ASTORIA BOULEVARD,-73.909018,40.7685544
43 STREET and ASTORIA BOULEVARD,-73.9080502,40.7683906
45 STREET and ASTORIA BLVD NORTH,-73.9061203,40.7680764
19 STREET and HAZEN STREET,-73.8928886,40.7738193
25 AVENUE and CRESCENT STREET,-73.9346295,40.75695
37 STREET and CRESCENT STREET,-73.9346295,40.75695
CADMAN PLAZA WEST and PIERREPONT PLACE,-73.9906127,40.6945803
FLATBUSH AVENUE and WILLOUGHBY AVENUE,-73.9824375,40.6920457
54 STREET and LENOX ROAD,-73.926911,40.6555629
EAST 10 STREET and SHEEPSHEAD BAY ROAD,-73.9841662,40.6112185
6 STREET and 65 STREET,-73.9807191,40.6133995
MYRTLE AVENUE and SKILLMAN AVENUE,-73.9570971,40.694471
SKILLMAN AVENUE and WILLOUGHBY AVENUE,-73.956773,40.692884
KING PLACE and TOMPKINS AVENUE,-73.9466524,40.697181
